whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
366,duD,apte,15501,1,I,unique-slp1
367,dul,apte,15516,1,X,unique-slp1
368,duz,mw,94747,2,IV,unique-slp1
368,duz,apte,15523,1,IV,unique-slp1
369,duh,mw,94848,2,II|IV|VI,unique-slp1
369,duh,apte,15545,1,I|II,unique-slp1
370,dU,apte,15556,1,IV,unique-slp1
371,df,apte,15569,1,V|VI,slp1-shared
372,df,apte,15569,1,V|VI,slp1-shared
373,dfp,mw,95246,2,IV,unique-slp1
373,dfp,apte,15584,1,I|IV|VI|X,unique-slp1
374,dfB,apte,15591,1,I|VI|X,unique-slp1
375,dfS,mw,95263,1,,unique-slp1
375,dfS,apte,15596,1,I,unique-slp1
376,dfh,apte,15619,1,I,unique-slp1
377,dev,apte,15625,1,I,unique-slp1
378,dyu,apte,15749,1,II,unique-slp1
379,dyut,mw,97391,2,I,unique-slp1
379,dyut,apte,15753,1,I,unique-slp1
380,dram,apte,15777,1,I,unique-slp1
381,drA,mw,97755,2,II,slp1-shared
381,drA,apte,15793,1,II,slp1-shared
382,drA,mw,97755,2,II,slp1-shared
382,drA,apte,15793,1,II,slp1-shared
383,drAq,apte,15804,1,I,unique-slp1
384,dru,mw,97846,2,I,unique-slp1
384,dru,apte,15816,1,I|V,unique-slp1
385,druh,mw,97951,1,IV,unique-slp1
385,druh,apte,15830,1,IV,unique-slp1
386,drU,apte,15840,1,V|IX,unique-slp1
388,dviz,mw,98962,2,II,unique-slp1
388,dviz,apte,15882,1,II,unique-slp1
389,Dan,mw,99257,2,III,unique-slp1
389,Dan,apte,15931,1,I|III,unique-slp1
390,Danv,mw,99639,,I,unique-slp1
391,Dam,mw,99700,,I,unique-slp1
392,Dav,mw,100554,,I,unique-slp1
393,DA,mw,100607,1,I|II|III|IV,slp1-shared
393,DA,apte,16000,1,III,slp1-shared
394,DA,mw,100607,1,I|II|III|IV,slp1-shared
394,DA,apte,16000,1,III,slp1-shared
395,DAv,apte,16048,1,I,slp1-shared
396,DAv,apte,16048,1,I,slp1-shared
397,Di,mw,101184,1,VI,unique-slp1
397,Di,apte,16056,1,V|VI,unique-slp1
398,DI,mw,101254,1,III,unique-slp1
398,DI,apte,16070,1,IV,unique-slp1
399,Dukz,apte,16089,1,I,unique-slp1
400,DU,mw,101481,1,I|II|V|VI|IX,unique-slp1
400,DU,apte,16103,1,I|V|VI|IX|X,unique-slp1
401,DUrv,apte,16131,1,I,unique-slp1
402,Df,mw,101815,,I,unique-slp1
402,Df,apte,16140,1,I|VI|X,unique-slp1
403,Dfz,mw,101933,,I|V,unique-slp1
403,Dfz,apte,16149,1,I|V|X,unique-slp1
404,DmA,apte,16184,1,I,unique-slp1
406,Draj,apte,16202,1,I,unique-slp1
407,DvaMs,mw,102398,,I,unique-slp1
407,DvaMs,apte,16222,1,I,unique-slp1
408,Dvan,mw,102497,2,I,unique-slp1
408,Dvan,apte,16237,1,I,unique-slp1
409,Dvf,mw,102614,,I,unique-slp1
409,Dvf,apte,16247,1,I,unique-slp1
411,nakz,mw,102824,,I,unique-slp1
411,nakz,apte,16258,1,I,unique-slp1
412,naw,mw,103176,,I,unique-slp1
412,naw,apte,16285,1,I|X,unique-slp1
413,nad,mw,103308,,I,unique-slp1
413,nad,apte,16302,1,I,unique-slp1
414,nand,mw,103420,,I,unique-slp1
415,naB,mw,103699,1,I|IV|IX,unique-slp1
415,naB,apte,16335,1,I,unique-slp1
416,nam,mw,103825,,I,unique-slp1
416,nam,apte,16348,1,I,unique-slp1
417,nard,mw,104307,,I,unique-slp1
417,nard,apte,16386,1,I,unique-slp1
418,naS,apte,16419,1,I|IV,slp1-shared
419,naS,apte,16419,1,I|IV,slp1-shared
420,nas,apte,16425,1,I,unique-slp1
421,nah,mw,104854,1,IV,unique-slp1
421,nah,apte,16433,1,IV,unique-slp1
422,nAT,mw,105448,,I,unique-slp1
422,nAT,apte,16473,1,I,unique-slp1
424,nikz,apte,16625,1,I,unique-slp1
425,nij,mw,108251,,II|III,unique-slp1
425,nij,apte,16695,1,III,unique-slp1
426,nind,mw,108659,,I,unique-slp1
427,nI,mw,111189,2,I,unique-slp1
427,nI,apte,17293,1,I,unique-slp1
429,nu,mw,111762,4,II|VI,slp1-shared
429,nu,apte,17335,1,I|II,slp1-shared
430,nu,mw,111762,4,II|VI,slp1-shared
430,nu,apte,17335,1,I|II,slp1-shared
431,nud,mw,111772,1,VI,unique-slp1
431,nud,apte,17340,1,VI,unique-slp1
433,nft,mw,112031,1,IV,unique-slp1
433,nft,apte,17352,1,IV,unique-slp1
434,ned,apte,17367,1,I,unique-slp1
435,pac,mw,113414,2,I|IV,unique-slp1
435,pac,apte,17565,1,I,unique-slp1
436,paj,mw,113507,,,unique-slp1
437,paw,mw,114263,,I|X,unique-slp1
437,paw,apte,17610,1,I|X,unique-slp1
438,paW,mw,114524,,I,unique-slp1
438,paW,apte,17636,1,I,unique-slp1
439,paR,mw,114550,,I,unique-slp1
